idx,article_number,law_id,hierarchy_path,citation,text_arabic,text_english,effective_date,is_active,updated,added
0,1,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85385&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 1 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 1 of Notarization Law No. 1 of 2023""}","في تطبيق أحكام هذا القانون، تـكون للـكلمات والعبارات التالـية، المعاني الموضحة قرين كل منها، ما لم يقتضِ السياق معنى آخر: 
	الوزارة: وزارة العـدل. 
	الوزير: وزير العـدل. 
	الإدارة: الوحدة الإدارية المختصة بالتوثيق بالوزارة، أو المكاتب التابعة لها التي تُنشأ بقرار من الوزير ويُسند إليها القيام بكل أو بعض اختصاصاتها، بحسب الأحوال.
	كاتب العدل: الموظف المختص بالتوثيق والتصديق وإثبات التاريخ، وفقاً لأحكام هذا الـقانون. 
	التوثيق: إجراء يقوم به كاتب العـدل، أو من يُفوضه الوزير، يتم بمقتضاه تدوين إرادة ذوي الشأن في محرر رسمي.
	التصديق: إجراء يقوم به كاتب العدل، يتم بمقتضاه التحقق من صحة توقيعات ذوي الشأن المثبتة على أي مُحرر يُقدم إليه.
	إثبات التاريخ: إجراء يقوم به كاتب العدل، يتم بمقتضاه إثبات وقت وتاريخ المحررات التي تُقدم إليه من ذوي الشأن، دون أن يشمل ذلك التحقق من مضمونها أو صحة التوقيعات المُثبتة عليها",,2026-02-06,True,2026-02-06,2026-02-06
1,2,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85386&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 2 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 2 of Notarization Law No. 1 of 2023""}",تُوثق المحررات باللغة العربية، فإذا كان أي من ذوي الشأن يجهل هذه اللغة أو لا يجيدها، وجب عليه أن يستعين بمترجم مقيد بجدول الخبراء لدى الوزارة، ويُوقع المترجم المحرر مع المتعاقدين.,,2026-02-06,True,2026-02-06,2026-02-06
2,3,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85387&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 3 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 3 of Notarization Law No. 1 of 2023""}",على كاتب العدل قبل إجراء التوثيق أن يتحقق من شخصية ذوي الشأن وأهليتهم وصحة رضاهم، ومن شخصية وصفة من ينوب عنهم، وذلك بموجب أوراق رسمية، وعليه إثبات ذلك في المحرر المطلوب توثيقه، على أن تحفظ صورة من هذه الأوراق بملف المعاملة.,,2026-02-06,True,2026-02-06,2026-02-06
3,4,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85388&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 4 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 4 of Notarization Law No. 1 of 2023""}",على كاتب العدل أن يتأكد من عدم مخالفة المحرر لأحكام القوانين واللوائح أو النظام العام أو الآداب العامة.,,2026-02-06,True,2026-02-06,2026-02-06
4,5,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85389&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 5 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 5 of Notarization Law No. 1 of 2023""}","إذا كان أحد أطراف المحرر أصم أو أبـكـم، أو تعـذر عليه لأي سبب، الإفصاح عن إرادته، فعليه أن يستعين بمن يفصح له عن إرادته، ويُوقِّع معه المحرر بهذه الصفة، وذلك بعد تحليفه اليمين التالية، من قبل كاتب العدل، ويُثبت ذلك في المحرر: 
	""أقسم بالله العظيم أن أقوم بترجمة الإشارات والإيماءات بصدق وأمانة، وأن أحافظ على أسرار ما كُلفت به من عمل"".",,2026-02-06,True,2026-02-06,2026-02-06
5,6,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85390&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 6 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 6 of Notarization Law No. 1 of 2023""}",إذا كان أحد أطراف المحرر عاجزاً عن التوقيع أو لا يجيد الكتابة، يُوقِّع المحرر ببصمة الإبهام أو ببصمة الخاتم، بحضور شاهـديـن يوقِّعـان معه المحرر، ويثبت ذلك في المحرر.,,2026-02-06,True,2026-02-06,2026-02-06
6,7,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85391&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 7 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 7 of Notarization Law No. 1 of 2023""}",إذا قدم ذوو الشأن إلى كاتب العدل وثيقة محررة بغير اللغة العربية لها علاقة بالمعاملة التي يُراد توثيقها، وجب عليهم إرفاق ترجمة معتمدة لها باللغة العربية من مترجم مقيّد بجدول الخبراء لدى الوزارة.,,2026-02-06,True,2026-02-06,2026-02-06
7,8,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85392&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 8 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 8 of Notarization Law No. 1 of 2023""}",إذا احتوى المحرر على أكثر من ورقة، وجب ترقيم صفحاته، ويوقّع ذوو الشأن على كل صفحة منه، ويُشار في نهايته إلى عدد صفحاته، وتُمهر جميع الصفحات بتوقيع كاتب العدل، وتُختم بخاتم الإدارة.,,2026-02-06,True,2026-02-06,2026-02-06
8,9,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85393&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 9 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 9 of Notarization Law No. 1 of 2023""}",إذا كان الإجراء عن طريق وكيل، فعلى كاتب العدل أن يتحقق من أن مضمون المحرر المطلوب توثيق لا يجاوز حدود الوكالة، وأن يحفظ صورة من التوكيل في ملف المعاملة.,,2026-02-06,True,2026-02-06,2026-02-06
9,10,9176,"{""level"": 1, ""chapter"": {""ar"": ""التوثيق"", ""en"": ""Notarization""}, ""section"": {""ar"": ""قانون التوثيق"", ""en"": ""Notarization Law""}}","{""law_id"": 9176, ""law_number"": 1, ""law_year"": 2023, ""law_name_ar"": ""قانون التوثيق"", ""law_name_en"": ""Notarization Law"", ""article_url"": ""https://www.almeezan.qa/LawArticles.aspx?LawArticleID=85394&LawID=9176&language=ar"", ""formatted_ar"": ""المادة 10 من قانون التوثيق رقم 1 لسنة 2023"", ""formatted_en"": ""Article 10 of Notarization Law No. 1 of 2023""}",إذا اتضح عدم توافر أهلية أو رضى ذوي الشأن، أو إذا جاوز الوكيل حدود وكالته، أو إذا كان المحرر المطلوب توثيقه ظاهر البطلان أو كان مخالفاً للقوانين واللوائح أو النظام العام أو الآداب العامة، أو توافر سبب آخر يمنع توثيق المحرر، وجب على كاتب العدل أن يرفض التوثيق، وأن يعيد المحرر إلى ذوي الشأن مع إبـداء أسباب الرفض كتابةً.,,2026-02-06,True,2026-02-06,2026-02-06
